Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0.4761904761904762,0.0,0.0,0.047244094488188976,0.0,0.0,0.5,0.0,0.6666666666666666,1.0,0.7285714285714285,0.6666666666666666,0.5,0.375,0.6666666666666666,0.5,0.3608214849921011,0.5341497691226661,0.4444444444444444,1.0,0.21428571428571427,0.0,1.0,0.0,0.25,0.6666666666666666,1.0,0.025,0.0,0.0,0.0
0.21428571428571427,0.0,0.0,0.7358625626342162,0.5,0.25,0.75,0.4,0.3333333333333333,1.0,0.37142857142857133,0.6666666666666666,0.25,0.0,0.3333333333333333,0.0,0.2740916271721959,0.05304155792009636,0.1111111111111111,0.0,0.5,0.0,0.0,0.3333333333333333,0.2,0.5,0.6666666666666666,0.2,0.3888888888888889,0.0,0.4117647058823529
0.5952380952380952,0.0,0.5,0.6435218324982105,0.0,0.2857142857142857,1.0,0.2,1.0,0.0,0.6,0.6666666666666666,0.25,0.25,0.6666666666666666,1.0,0.2459189046866772,0.7039951816904236,0.3333333333333333,1.0,0.14285714285714285,0.0,0.3333333333333333,0.3333333333333333,0.25,0.5,0.6666666666666666,0.2,0.3888888888888889,0.26666666666666666,0.4117647058823529
0.5,1.0,0.0,0.18468146027201146,0.0,0.7857142857142857,0.5,0.2,0.6666666666666666,0.0,0.9,0.6666666666666666,0.0,0.125,0.0,0.5,0.1524486571879937,0.8054607508532423,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.15,0.3333333333333333,0.6666666666666666,0.125,0.1111111111111111,0.0,0.17647058823529413
0.5238095238095238,0.0,0.5,0.9255547602004296,0.0,0.8928571428571429,0.5,0.2,0.3333333333333333,1.0,0.3428571428571429,0.6666666666666666,0.25,0.125,0.3333333333333333,1.0,0.2420221169036335,0.2573780365388476,0.1111111111111111,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,0.5,0.3888888888888889,0.13333333333333333,0.7647058823529411
0.4047619047619048,0.0,0.0,0.4674302075876879,0.0,0.2857142857142857,0.75,0.0,0.6666666666666666,0.0,0.9571428571428572,0.3333333333333333,0.25,0.5,0.3333333333333333,0.5,0.2912585571353344,0.6946396305962658,1.0,0.0,0.5714285714285714,0.0,0.6666666666666666,0.0,0.25,0.8333333333333334,0.6666666666666666,0.025,0.05555555555555555,0.0,0.0
0.047619047619047616,0.0,0.0,0.3951324266284896,0.5,0.7142857142857143,0.5,0.4,0.6666666666666666,0.0,0.18571428571428567,1.0,0.0,0.75,1.0,0.5,0.08788836229594524,0.11869102589841395,0.1111111111111111,0.0,0.42857142857142855,0.0,1.0,0.0,0.05,0.3333333333333333,0.6666666666666666,0.05,0.05555555555555555,0.13333333333333333,0.1176470588235294
0.4761904761904762,0.0,0.5,0.2641374373657838,0.0,0.3928571428571429,0.5,0.0,0.0,0.0,0.21428571428571427,0.3333333333333333,0.25,0.5,0.0,1.0,0.2779884149552396,0.08793414976912267,0.2222222222222222,0.0,0.2857142857142857,0.0,0.6666666666666666,0.3333333333333333,0.325,0.5,0.3333333333333333,0.1,0.16666666666666666,0.06666666666666668,0.1176470588235294
0.09523809523809523,0.0,0.0,0.30923407301360056,0.0,0.5,0.5,0.2,0.3333333333333333,1.0,0.4142857142857143,0.6666666666666666,0.0,0.25,1.0,0.5,0.09805160610847814,0.8709496085123469,0.1111111111111111,0.0,0.2857142857142857,0.0,0.6666666666666666,0.0,0.025,0.8333333333333334,0.6666666666666666,0.0,0.0,0.0,0.0
0.5714285714285714,0.0,0.0,0.5948460987831067,0.0,1.0,0.5,0.0,0.3333333333333333,0.0,0.9714285714285714,0.6666666666666666,0.25,0.375,0.3333333333333333,0.0,0.1803580832016851,0.3899618550491869,0.1111111111111111,0.0,0.14285714285714285,0.0,1.0,0.3333333333333333,0.25,0.5,0.3333333333333333,0.225,0.4444444444444444,0.4666666666666667,0.4705882352941176
